donor_id,first_gift_amount,donation_channel,campaign_source,city,donor_age_band,first_gift_month,is_festival_season,communication_optin,time_on_first_visit_secs,donated_again
D1398,872,BankTransfer,Referral,Kanpur,18-25,12,0,1,66,1
D1399,368,UPI,Event,Delhi,36-50,4,0,1,91,1
D1400,531,UPI,Website,Kanpur,18-25,6,0,1,194,1
D1401,691,Card,Referral,Kanpur,18-25,10,1,1,205,1
D1402,1069,UPI,Event,Kanpur,18-25,1,0,0,84,1
D1403,457,Card,SocialMedia,Ghaziabad,26-35,1,0,1,156,1
D1404,867,UPI,SocialMedia,Other,36-50,3,0,0,85,1
D1405,500,Cash,Website,Lucknow,36-50,9,1,0,126,1
D1406,554,BankTransfer,Event,Delhi,26-35,12,0,1,150,1
D1407,1076,BankTransfer,SocialMedia,Ghaziabad,51+,8,0,1,179,0
D1408,149,Card,SocialMedia,Delhi,26-35,11,1,1,162,1
D1409,243,UPI,Website,Other,36-50,11,1,1,159,1
D1410,213,Cash,Event,Ghaziabad,26-35,4,0,0,64,0
D1411,118,Cash,Referral,Other,18-25,3,0,0,167,1
D1412,374,Card,Website,Lucknow,36-50,2,0,0,178,1
D1413,1017,Card,Referral,Delhi,26-35,10,1,1,188,1
D1414,493,Cash,Referral,Kanpur,36-50,9,1,1,89,0
D1415,691,Card,SocialMedia,Lucknow,18-25,11,1,0,204,0
D1416,1290,Cash,Website,Lucknow,26-35,7,0,1,47,1
D1417,1524,UPI,SocialMedia,Other,36-50,12,0,1,109,0
D1418,573,Card,Referral,Other,18-25,11,1,1,120,1
D1419,1552,Card,SocialMedia,Ghaziabad,18-25,10,1,0,51,0
D1420,642,UPI,Website,Other,18-25,10,1,0,119,1
D1421,335,BankTransfer,Website,Other,26-35,2,0,1,155,0
D1422,397,Card,SocialMedia,Lucknow,36-50,9,1,1,12,1
D1423,213,UPI,Website,Kanpur,26-35,12,0,0,112,1
D1424,323,Cash,SocialMedia,Kanpur,51+,4,0,0,17,0
D1425,468,Cash,Event,Kanpur,26-35,10,1,1,282,1
D1426,1056,Cash,Event,Kanpur,26-35,5,0,1,154,1
D1427,2007,UPI,SocialMedia,Other,18-25,3,0,0,148,1
D1428,229,BankTransfer,Event,Kanpur,18-25,9,1,1,156,0
D1429,792,UPI,Referral,Delhi,36-50,2,0,1,182,1
D1430,291,Card,SocialMedia,Lucknow,18-25,6,0,0,208,1
D1431,839,UPI,Event,Lucknow,18-25,12,0,0,30,0
D1432,549,Card,Referral,Kanpur,36-50,2,0,1,231,1
D1433,167,Cash,Website,Lucknow,26-35,2,0,1,227,1
D1434,1153,Card,SocialMedia,Lucknow,18-25,12,0,0,135,0
D1435,394,Card,Referral,Lucknow,36-50,10,1,1,131,0
D1436,414,Cash,SocialMedia,Kanpur,26-35,6,0,1,10,1
D1437,285,Card,Event,Delhi,36-50,5,0,1,52,1
D1438,381,UPI,Event,Kanpur,36-50,12,0,0,176,1
D1439,812,BankTransfer,Website,Lucknow,18-25,9,1,0,224,0
D1440,527,Cash,SocialMedia,Ghaziabad,18-25,11,1,0,191,1
D1441,758,BankTransfer,SocialMedia,Kanpur,18-25,2,0,1,134,0
D1442,775,BankTransfer,Website,Other,36-50,7,0,1,274,1
D1443,1517,BankTransfer,SocialMedia,Kanpur,26-35,9,1,1,210,0
D1444,473,Cash,Event,Other,36-50,1,0,0,112,1
D1445,214,Card,Website,Other,26-35,7,0,1,292,0
D1446,1270,UPI,Website,Ghaziabad,18-25,1,0,1,63,1
D1447,477,Card,SocialMedia,Ghaziabad,18-25,11,1,1,36,0
D1448,1313,Cash,SocialMedia,Kanpur,18-25,9,1,0,110,1
D1449,787,Card,Referral,Other,26-35,3,0,1,86,1
D1450,549,BankTransfer,Event,Lucknow,26-35,7,0,0,114,1
D1451,768,UPI,SocialMedia,Kanpur,51+,2,0,0,195,1
D1452,2358,UPI,SocialMedia,Lucknow,18-25,10,1,1,137,1
D1453,2576,Card,SocialMedia,Kanpur,36-50,3,0,0,139,1
D1454,632,UPI,Referral,Lucknow,18-25,8,0,0,144,0
D1455,673,UPI,SocialMedia,Lucknow,36-50,1,0,1,10,0
D1456,1278,UPI,SocialMedia,Kanpur,18-25,2,0,0,33,0
D1457,333,Cash,Event,Other,36-50,12,0,1,113,1
D1458,760,Card,SocialMedia,Kanpur,18-25,5,0,1,80,1
D1459,591,UPI,SocialMedia,Lucknow,18-25,2,0,1,123,1
D1460,750,UPI,Referral,Lucknow,26-35,9,1,0,238,1
D1461,336,Card,Website,Other,26-35,3,0,1,134,1
D1462,198,UPI,SocialMedia,Ghaziabad,26-35,8,0,1,47,0
D1463,141,Cash,Event,Other,18-25,10,1,0,84,1
D1464,275,Cash,SocialMedia,Ghaziabad,51+,9,1,1,259,1
D1465,437,UPI,SocialMedia,Other,18-25,3,0,1,247,1
D1466,490,Card,Event,Kanpur,26-35,3,0,0,181,0
D1467,2336,UPI,Event,Delhi,36-50,3,0,0,30,1
D1468,1305,UPI,Website,Kanpur,36-50,8,0,1,161,1
D1469,307,BankTransfer,Referral,Other,18-25,9,1,1,166,1
D1470,768,Card,SocialMedia,Other,26-35,7,0,1,141,1
D1471,453,BankTransfer,Referral,Ghaziabad,18-25,5,0,0,100,0
D1472,493,UPI,Event,Lucknow,26-35,1,0,0,114,0
D1473,685,UPI,SocialMedia,Lucknow,26-35,11,1,1,95,1
D1474,928,Card,Website,Kanpur,36-50,8,0,1,59,1
D1475,475,Card,SocialMedia,Delhi,36-50,8,0,0,235,1
D1476,1267,BankTransfer,Event,Delhi,18-25,2,0,1,201,0
D1477,271,UPI,Website,Lucknow,18-25,4,0,0,120,1
D1478,605,BankTransfer,SocialMedia,Kanpur,26-35,4,0,0,164,0
D1479,3708,BankTransfer,Referral,Other,26-35,8,0,1,167,0
D1480,704,Card,SocialMedia,Kanpur,26-35,10,1,0,304,0
D1481,1641,UPI,Website,Lucknow,26-35,11,1,1,201,1
D1482,642,Card,SocialMedia,Kanpur,26-35,7,0,0,198,1
D1483,904,UPI,SocialMedia,Kanpur,51+,5,0,1,142,1
D1484,578,Cash,SocialMedia,Kanpur,26-35,5,0,0,109,1
D1485,534,Card,Referral,Ghaziabad,18-25,9,1,1,236,1
D1486,349,BankTransfer,SocialMedia,Lucknow,18-25,4,0,1,185,0
D1487,813,Card,Referral,Lucknow,26-35,5,0,0,81,1
D1488,332,Card,SocialMedia,Delhi,18-25,10,1,0,171,0
D1489,959,Cash,Event,Delhi,18-25,7,0,1,198,0
D1490,1287,Card,SocialMedia,Kanpur,18-25,6,0,0,10,0
D1491,778,BankTransfer,SocialMedia,Kanpur,36-50,9,1,1,75,1
D1492,493,UPI,Referral,Lucknow,51+,4,0,1,165,1
D1493,827,BankTransfer,Event,Delhi,26-35,1,0,1,10,1
D1494,485,Cash,Website,Lucknow,18-25,10,1,0,16,1
D1495,1159,BankTransfer,Event,Kanpur,26-35,6,0,0,121,0
D1496,167,Card,Event,Other,26-35,4,0,0,174,0
D1497,476,Cash,Website,Kanpur,51+,2,0,0,177,0
D1498,149,UPI,Referral,Lucknow,26-35,12,0,0,250,1
D1499,211,Cash,Website,Kanpur,36-50,9,1,1,145,0
D1500,1564,UPI,Event,Delhi,51+,4,0,0,113,1
D1501,1126,UPI,Website,Ghaziabad,26-35,8,0,0,48,0
D1502,364,UPI,Website,Delhi,18-25,6,0,0,113,0
D1503,210,UPI,Event,Kanpur,26-35,4,0,0,189,0
D1504,76,UPI,Website,Lucknow,26-35,4,0,1,192,1
D1505,411,Cash,Event,Kanpur,26-35,1,0,0,158,0
D1506,3276,UPI,Website,Delhi,51+,12,0,1,178,1
D1507,816,Cash,Referral,Kanpur,18-25,12,0,1,229,1
D1508,407,UPI,Referral,Kanpur,26-35,11,1,0,145,1
D1509,833,Cash,Website,Delhi,18-25,4,0,1,235,1
D1510,202,Cash,Website,Kanpur,18-25,12,0,0,89,1
D1511,489,UPI,Website,Kanpur,26-35,4,0,0,134,1
D1512,645,Cash,SocialMedia,Other,36-50,10,1,1,106,0
D1513,567,BankTransfer,Event,Other,26-35,2,0,1,195,1
D1514,1047,Cash,SocialMedia,Other,18-25,4,0,0,68,0
D1515,766,UPI,SocialMedia,Ghaziabad,18-25,7,0,1,117,1
D1516,961,Card,Referral,Lucknow,26-35,12,0,0,10,1
D1517,372,Cash,Referral,Delhi,26-35,4,0,1,181,1
D1518,1128,UPI,Event,Kanpur,36-50,6,0,1,227,1
D1519,1882,Cash,SocialMedia,Delhi,26-35,11,1,0,203,0
D1520,305,UPI,Website,Kanpur,36-50,6,0,1,196,1
D1521,323,Cash,Event,Other,36-50,9,1,1,198,1
D1522,1533,UPI,Website,Lucknow,26-35,6,0,0,188,1
D1523,526,UPI,Referral,Ghaziabad,26-35,1,0,1,183,0
D1524,1608,BankTransfer,SocialMedia,Ghaziabad,36-50,4,0,1,187,1
D1525,442,BankTransfer,SocialMedia,Kanpur,51+,7,0,0,94,0
D1526,1667,BankTransfer,SocialMedia,Ghaziabad,26-35,1,0,1,125,1
D1527,660,BankTransfer,SocialMedia,Delhi,26-35,3,0,1,144,0
D1528,721,UPI,SocialMedia,Lucknow,26-35,12,0,1,116,1
D1529,1800,UPI,SocialMedia,Lucknow,36-50,1,0,0,30,1
D1530,467,UPI,SocialMedia,Kanpur,51+,3,0,1,53,1
D1531,311,Card,SocialMedia,Delhi,51+,8,0,1,156,1
D1532,440,UPI,SocialMedia,Ghaziabad,18-25,7,0,1,203,0
D1533,826,BankTransfer,Website,Kanpur,18-25,3,0,0,140,0
D1534,201,UPI,SocialMedia,Other,36-50,1,0,1,333,1
D1535,940,UPI,Referral,Lucknow,26-35,11,1,1,75,0
D1536,413,UPI,SocialMedia,Lucknow,51+,7,0,0,171,0
D1537,1344,UPI,SocialMedia,Other,18-25,7,0,0,230,0
D1538,113,UPI,SocialMedia,Ghaziabad,36-50,1,0,1,214,1
D1539,347,Card,Website,Other,36-50,3,0,1,185,1
D1540,185,UPI,SocialMedia,Delhi,18-25,1,0,1,214,0
D1541,338,Card,Event,Lucknow,18-25,12,0,0,143,0
D1542,716,BankTransfer,SocialMedia,Kanpur,36-50,10,1,1,256,0
D1543,531,Card,Referral,Kanpur,18-25,7,0,0,229,1
D1544,504,Card,SocialMedia,Ghaziabad,36-50,9,1,1,80,1
D1545,538,UPI,Event,Kanpur,26-35,2,0,0,162,1
D1546,694,UPI,Referral,Kanpur,26-35,12,0,0,31,1
D1547,297,UPI,SocialMedia,Lucknow,18-25,7,0,1,246,1
D1548,987,BankTransfer,SocialMedia,Delhi,51+,7,0,1,155,1
D1549,957,Card,Website,Kanpur,36-50,12,0,0,234,0
D1550,788,UPI,SocialMedia,Delhi,36-50,2,0,0,132,1
D1551,889,Card,SocialMedia,Other,36-50,6,0,1,10,1
D1552,741,Cash,Event,Delhi,26-35,2,0,1,324,0
D1553,2501,Card,SocialMedia,Delhi,51+,6,0,0,149,1
D1554,566,Card,Referral,Delhi,26-35,4,0,1,69,1
D1555,485,BankTransfer,Website,Kanpur,26-35,6,0,0,220,0
D1556,355,Card,Event,Ghaziabad,18-25,9,1,1,282,0
D1557,292,Card,SocialMedia,Other,18-25,4,0,0,125,0
D1558,252,UPI,Website,Delhi,36-50,1,0,0,133,1
D1559,323,UPI,Website,Delhi,18-25,2,0,1,156,1
D1560,573,BankTransfer,SocialMedia,Other,36-50,9,1,0,62,0
D1561,761,Card,Referral,Kanpur,51+,7,0,1,91,1
D1562,624,UPI,Event,Ghaziabad,26-35,12,0,0,264,1
D1563,352,Card,Website,Lucknow,18-25,11,1,0,130,1
D1564,1130,UPI,SocialMedia,Kanpur,36-50,2,0,1,81,0
D1565,1010,Cash,SocialMedia,Lucknow,18-25,9,1,1,108,0
D1566,538,UPI,Website,Other,36-50,2,0,0,215,1
D1567,381,Cash,Website,Lucknow,26-35,2,0,1,10,1
D1568,884,Card,SocialMedia,Kanpur,26-35,10,1,0,157,1
D1569,686,UPI,SocialMedia,Delhi,26-35,5,0,1,312,1
D1570,218,UPI,Website,Kanpur,26-35,12,0,0,282,0
D1571,574,Cash,SocialMedia,Other,18-25,1,0,1,180,1
D1572,723,UPI,SocialMedia,Kanpur,18-25,7,0,0,232,1
D1573,321,UPI,Website,Other,26-35,4,0,1,231,1
D1574,687,Cash,SocialMedia,Ghaziabad,36-50,12,0,1,131,1
D1575,217,UPI,SocialMedia,Ghaziabad,18-25,9,1,1,204,1
D1576,1534,UPI,SocialMedia,Lucknow,18-25,10,1,0,265,0
D1577,1442,UPI,Referral,Kanpur,18-25,4,0,0,51,0
D1578,504,BankTransfer,SocialMedia,Ghaziabad,26-35,11,1,0,180,1
D1579,776,UPI,Website,Other,18-25,11,1,1,165,0
D1580,111,UPI,Referral,Other,36-50,10,1,0,147,1
D1581,268,UPI,Website,Kanpur,18-25,6,0,1,141,0
D1582,490,UPI,Event,Delhi,36-50,12,0,0,156,1
D1583,284,UPI,Event,Other,18-25,9,1,1,162,1
D1584,992,UPI,SocialMedia,Other,26-35,1,0,1,218,1
D1585,2436,UPI,Event,Ghaziabad,18-25,11,1,1,173,1
D1586,264,UPI,Referral,Kanpur,36-50,1,0,1,127,1
D1587,335,BankTransfer,Website,Other,51+,9,1,1,81,1
D1588,710,UPI,Event,Ghaziabad,18-25,3,0,1,106,0
D1589,1859,UPI,SocialMedia,Ghaziabad,51+,11,1,1,158,0
D1590,256,BankTransfer,Referral,Delhi,18-25,9,1,1,90,1
D1591,716,BankTransfer,SocialMedia,Kanpur,26-35,10,1,0,206,0
D1592,2154,Card,Website,Other,36-50,9,1,0,170,1
D1593,189,UPI,SocialMedia,Kanpur,18-25,7,0,1,220,1
D1594,245,UPI,Website,Delhi,26-35,11,1,1,95,1
D1595,447,UPI,Website,Other,18-25,4,0,0,81,1
D1596,418,UPI,Event,Other,36-50,7,0,0,219,0
D1597,1063,UPI,SocialMedia,Other,26-35,4,0,1,149,0
D1598,713,Card,Website,Other,36-50,2,0,0,125,0
D1599,174,UPI,SocialMedia,Kanpur,18-25,11,1,1,188,0
D1600,863,Card,SocialMedia,Other,51+,6,0,1,186,1
D1601,402,UPI,Event,Other,18-25,1,0,0,52,1
D1602,1469,UPI,Event,Lucknow,26-35,10,1,0,236,1
D1603,388,Cash,Website,Ghaziabad,18-25,12,0,0,111,0
D1604,385,BankTransfer,SocialMedia,Kanpur,18-25,8,0,0,259,1
D1605,879,UPI,Event,Lucknow,18-25,4,0,1,46,1
D1606,1027,Card,Referral,Delhi,36-50,11,1,1,162,1
D1607,824,UPI,SocialMedia,Ghaziabad,18-25,9,1,1,127,1
D1608,185,UPI,Event,Ghaziabad,26-35,4,0,0,10,1
D1609,877,Cash,Website,Lucknow,51+,4,0,1,186,1
D1610,292,UPI,Referral,Kanpur,18-25,12,0,0,10,1
D1611,710,UPI,Event,Other,18-25,12,0,1,119,0
D1612,222,Card,Website,Kanpur,18-25,9,1,0,217,1
D1613,823,UPI,SocialMedia,Kanpur,18-25,1,0,1,102,1
D1614,342,UPI,SocialMedia,Kanpur,26-35,3,0,1,76,1
D1615,245,UPI,Referral,Other,36-50,5,0,0,196,1
D1616,992,BankTransfer,Referral,Other,18-25,7,0,1,122,1
D1617,713,Card,Event,Kanpur,18-25,11,1,0,111,0
D1618,392,UPI,Event,Kanpur,26-35,11,1,0,229,1
D1619,1662,UPI,Event,Ghaziabad,18-25,4,0,1,58,0
D1620,442,Card,SocialMedia,Kanpur,26-35,2,0,1,107,1
D1621,616,UPI,Referral,Delhi,51+,4,0,0,200,1
D1622,727,Card,Website,Kanpur,18-25,3,0,0,53,1
D1623,390,Cash,Event,Lucknow,26-35,11,1,0,264,1
D1624,837,UPI,SocialMedia,Ghaziabad,36-50,1,0,1,124,1
D1625,414,UPI,SocialMedia,Ghaziabad,36-50,10,1,1,201,1
D1626,451,UPI,SocialMedia,Ghaziabad,36-50,8,0,0,201,1
D1627,1562,UPI,Website,Kanpur,36-50,2,0,0,129,1
D1628,290,UPI,Event,Kanpur,26-35,9,1,1,106,0
D1629,111,BankTransfer,SocialMedia,Kanpur,26-35,7,0,1,136,0
D1630,1859,UPI,Website,Kanpur,36-50,1,0,0,189,0
D1631,3585,Card,Referral,Other,36-50,3,0,1,70,1
D1632,453,Card,SocialMedia,Kanpur,36-50,5,0,0,55,0
D1633,155,UPI,Event,Ghaziabad,26-35,3,0,0,243,0
D1634,484,UPI,Event,Kanpur,36-50,7,0,1,88,1
D1635,493,UPI,SocialMedia,Delhi,18-25,8,0,1,164,1
D1636,527,Card,Event,Other,18-25,3,0,0,125,1
D1637,276,UPI,Website,Delhi,18-25,2,0,1,128,1
D1638,903,Cash,SocialMedia,Lucknow,18-25,8,0,1,240,0
D1639,869,BankTransfer,SocialMedia,Other,36-50,6,0,1,134,0
D1640,211,Cash,Referral,Ghaziabad,18-25,4,0,1,115,1
D1641,982,BankTransfer,SocialMedia,Other,36-50,4,0,1,121,1
D1642,2532,Cash,Website,Delhi,26-35,1,0,1,104,1
D1643,679,BankTransfer,Website,Kanpur,18-25,11,1,0,93,0
D1644,475,Cash,Website,Ghaziabad,18-25,11,1,1,105,1
D1645,545,Cash,Website,Kanpur,26-35,7,0,0,256,1
D1646,926,Cash,Website,Kanpur,36-50,5,0,1,189,1
D1647,179,BankTransfer,Website,Other,26-35,3,0,0,115,0
D1648,675,Card,Event,Kanpur,18-25,4,0,0,208,1
D1649,458,Card,SocialMedia,Delhi,18-25,12,0,1,28,1
D1650,2194,Card,SocialMedia,Other,18-25,2,0,0,236,1
D1651,533,BankTransfer,Event,Ghaziabad,18-25,10,1,0,230,1
D1652,1934,UPI,SocialMedia,Ghaziabad,51+,4,0,0,296,0
D1653,278,Cash,Event,Lucknow,18-25,4,0,1,210,0
D1654,908,Cash,SocialMedia,Other,18-25,10,1,0,170,0
D1655,753,BankTransfer,SocialMedia,Kanpur,36-50,12,0,0,230,1
D1656,328,UPI,SocialMedia,Kanpur,36-50,12,0,1,96,0
D1657,681,Cash,Website,Lucknow,26-35,4,0,1,112,1
D1658,1406,Cash,Event,Other,26-35,8,0,1,135,1
D1659,480,BankTransfer,Website,Kanpur,51+,4,0,0,235,0
D1660,184,BankTransfer,Event,Ghaziabad,18-25,3,0,1,80,1
D1661,594,Card,Referral,Other,18-25,5,0,1,72,1
D1662,320,Card,Website,Kanpur,36-50,1,0,1,156,1
D1663,474,UPI,SocialMedia,Kanpur,36-50,2,0,1,190,1
D1664,568,BankTransfer,Referral,Lucknow,51+,8,0,0,90,0
D1665,182,UPI,SocialMedia,Kanpur,18-25,9,1,1,186,0
D1666,194,Cash,Event,Kanpur,51+,4,0,1,235,0
D1667,843,Cash,Website,Lucknow,18-25,7,0,0,224,1
D1668,417,UPI,SocialMedia,Delhi,36-50,10,1,0,164,0
D1669,100,UPI,Event,Lucknow,36-50,11,1,0,133,0
D1670,1043,UPI,SocialMedia,Ghaziabad,18-25,7,0,1,261,1
D1671,728,BankTransfer,SocialMedia,Lucknow,18-25,3,0,0,141,1
D1672,365,Card,SocialMedia,Lucknow,26-35,9,1,1,205,1
D1673,239,UPI,SocialMedia,Other,36-50,3,0,1,277,1
D1674,1080,Cash,SocialMedia,Delhi,18-25,2,0,0,198,1
D1675,769,UPI,Website,Delhi,36-50,5,0,0,70,1
D1676,3190,BankTransfer,Event,Other,18-25,4,0,0,53,0
D1677,808,UPI,Event,Other,26-35,2,0,0,119,0
D1678,789,UPI,Website,Kanpur,18-25,1,0,1,189,1
D1679,535,UPI,SocialMedia,Other,51+,12,0,1,171,0
D1680,1066,Card,SocialMedia,Other,18-25,9,1,1,294,1
D1681,932,Card,Website,Ghaziabad,26-35,9,1,1,170,0
D1682,1445,Cash,Referral,Kanpur,18-25,1,0,0,117,0
D1683,418,Card,Event,Lucknow,51+,10,1,1,60,1
D1684,444,UPI,SocialMedia,Ghaziabad,36-50,5,0,1,222,1
D1685,430,UPI,Website,Delhi,18-25,9,1,1,139,1
D1686,1047,UPI,Referral,Lucknow,18-25,6,0,0,34,0
D1687,1718,BankTransfer,Event,Kanpur,26-35,3,0,0,141,1
D1688,437,UPI,SocialMedia,Kanpur,26-35,4,0,1,70,1
D1689,447,BankTransfer,SocialMedia,Other,36-50,2,0,1,110,1
D1690,750,UPI,Event,Kanpur,26-35,10,1,0,140,1
D1691,507,UPI,Referral,Delhi,26-35,6,0,0,76,1
D1692,1172,UPI,Website,Kanpur,36-50,10,1,1,105,1
D1693,124,UPI,SocialMedia,Ghaziabad,26-35,10,1,1,87,0
D1694,337,Cash,Website,Lucknow,18-25,3,0,1,89,1
D1695,348,Card,Website,Kanpur,18-25,4,0,0,69,0
D1696,119,UPI,Event,Delhi,18-25,2,0,0,106,0
D1697,307,Card,Website,Delhi,26-35,1,0,1,77,0
D1698,317,Card,SocialMedia,Kanpur,18-25,12,0,1,181,1
D1699,523,BankTransfer,SocialMedia,Ghaziabad,26-35,8,0,0,154,1
D1700,1312,BankTransfer,Event,Delhi,18-25,6,0,1,223,0
D1701,507,Card,Event,Delhi,36-50,3,0,0,272,1
D1702,292,Cash,Referral,Lucknow,18-25,8,0,1,187,0
D1703,578,Cash,Event,Delhi,26-35,7,0,0,171,1
D1704,1254,Card,SocialMedia,Kanpur,18-25,3,0,1,191,1
D1705,304,Cash,SocialMedia,Kanpur,18-25,1,0,1,172,1
D1706,318,UPI,Event,Delhi,18-25,6,0,0,143,0
D1707,890,Cash,SocialMedia,Delhi,26-35,7,0,0,137,0
D1708,515,BankTransfer,Website,Other,36-50,10,1,0,68,0
D1709,947,UPI,SocialMedia,Kanpur,18-25,5,0,0,198,0
D1710,596,Cash,SocialMedia,Lucknow,36-50,2,0,1,137,0
D1711,984,BankTransfer,Website,Delhi,26-35,11,1,1,241,1
D1712,292,UPI,SocialMedia,Kanpur,26-35,5,0,0,204,0
D1713,597,Card,Website,Lucknow,26-35,9,1,1,96,0
D1714,519,BankTransfer,Event,Lucknow,18-25,1,0,0,227,0
D1715,257,BankTransfer,Event,Kanpur,36-50,1,0,1,10,0
D1716,201,UPI,Website,Ghaziabad,36-50,1,0,1,275,1
D1717,973,UPI,Website,Kanpur,36-50,10,1,0,46,1
D1718,471,Card,Website,Other,18-25,3,0,1,174,1
D1719,294,UPI,SocialMedia,Kanpur,36-50,10,1,1,169,1
D1720,563,UPI,SocialMedia,Kanpur,18-25,12,0,0,218,1
D1721,1326,UPI,Website,Kanpur,26-35,8,0,1,116,1
D1722,122,UPI,Event,Kanpur,18-25,12,0,0,10,0
D1723,211,Card,Website,Kanpur,18-25,12,0,0,117,0
D1724,315,Card,Event,Lucknow,26-35,9,1,1,124,0
D1725,1674,Card,Website,Kanpur,36-50,10,1,0,10,0
D1726,733,Cash,SocialMedia,Kanpur,18-25,8,0,0,143,0
D1727,1030,UPI,Event,Kanpur,26-35,3,0,0,64,0
D1728,271,UPI,SocialMedia,Ghaziabad,26-35,2,0,0,185,0
D1729,275,UPI,Event,Kanpur,51+,5,0,0,122,0
D1730,823,UPI,Website,Lucknow,36-50,6,0,0,277,1
D1731,627,UPI,Event,Delhi,18-25,5,0,1,122,1
D1732,884,UPI,SocialMedia,Delhi,18-25,2,0,1,170,0
D1733,528,UPI,Referral,Kanpur,26-35,7,0,1,125,1
D1734,731,UPI,Website,Other,18-25,6,0,1,26,1
D1735,672,Card,Event,Delhi,51+,12,0,0,125,0
D1736,1037,Card,Referral,Kanpur,51+,12,0,1,192,0
D1737,1059,BankTransfer,Event,Ghaziabad,51+,8,0,1,182,1
D1738,194,Cash,Website,Delhi,18-25,11,1,1,119,0
D1739,125,Card,SocialMedia,Ghaziabad,36-50,4,0,1,38,0
D1740,1213,UPI,SocialMedia,Ghaziabad,36-50,12,0,0,185,1
D1741,1382,Card,SocialMedia,Lucknow,18-25,12,0,0,169,0
D1742,295,UPI,SocialMedia,Kanpur,18-25,2,0,1,199,1
D1743,164,UPI,Event,Other,18-25,9,1,1,120,1
D1744,645,UPI,SocialMedia,Kanpur,26-35,6,0,1,22,0
D1745,1155,UPI,Website,Kanpur,51+,4,0,1,177,1
D1746,2118,UPI,SocialMedia,Kanpur,36-50,5,0,0,139,1
D1747,864,Card,SocialMedia,Ghaziabad,18-25,11,1,0,237,0
D1748,464,Cash,Referral,Other,26-35,12,0,1,142,1
D1749,322,Cash,Website,Other,18-25,5,0,0,136,0
D1750,607,Card,Referral,Other,18-25,6,0,1,169,1
D1751,488,Card,Event,Lucknow,18-25,7,0,1,98,1
D1752,296,UPI,SocialMedia,Ghaziabad,26-35,9,1,0,94,0
D1753,2525,Cash,Event,Ghaziabad,36-50,6,0,0,133,0
D1754,2100,Card,Event,Kanpur,36-50,5,0,1,75,0
D1755,1333,UPI,SocialMedia,Other,36-50,12,0,1,123,1
D1756,316,UPI,Referral,Ghaziabad,18-25,5,0,1,275,1
D1757,1095,BankTransfer,Website,Ghaziabad,36-50,4,0,0,212,0
D1758,942,Card,Website,Lucknow,18-25,4,0,0,161,1
D1759,820,Card,Event,Delhi,26-35,4,0,0,248,1
D1760,1443,Card,Website,Kanpur,26-35,7,0,0,82,0
D1761,939,UPI,SocialMedia,Delhi,18-25,8,0,0,314,0
D1762,1010,Card,Referral,Delhi,18-25,2,0,1,107,1
D1763,940,UPI,Event,Other,18-25,11,1,0,280,1
D1764,764,UPI,SocialMedia,Kanpur,18-25,4,0,1,279,1
D1765,173,Card,SocialMedia,Kanpur,51+,2,0,1,17,0
D1766,638,UPI,Website,Ghaziabad,18-25,9,1,1,242,1
D1767,408,Cash,Referral,Other,26-35,3,0,1,120,1
D1768,246,UPI,Referral,Other,51+,10,1,0,100,1
D1769,1953,Card,Website,Lucknow,26-35,12,0,1,176,0
D1770,2019,Card,Referral,Kanpur,26-35,9,1,0,69,0
D1771,1558,Card,Website,Kanpur,51+,10,1,0,175,1
D1772,720,Card,SocialMedia,Lucknow,18-25,6,0,1,74,0
D1773,1549,BankTransfer,Website,Kanpur,18-25,5,0,0,152,0
D1774,607,Card,SocialMedia,Lucknow,26-35,8,0,0,233,0
D1775,694,Cash,SocialMedia,Other,26-35,5,0,1,167,1
D1776,280,Cash,Event,Ghaziabad,36-50,11,1,1,114,1
D1777,795,UPI,SocialMedia,Ghaziabad,18-25,6,0,0,177,0
D1778,628,UPI,Referral,Kanpur,26-35,6,0,0,41,1
D1779,242,UPI,Referral,Kanpur,36-50,9,1,0,81,0
D1780,581,UPI,SocialMedia,Delhi,51+,3,0,1,109,1
D1781,569,UPI,Website,Ghaziabad,18-25,7,0,1,195,1
D1782,2118,UPI,Event,Kanpur,18-25,10,1,0,168,0
D1783,1125,Card,SocialMedia,Kanpur,51+,10,1,1,177,1
D1784,607,UPI,SocialMedia,Kanpur,26-35,3,0,1,138,1
D1785,716,Cash,SocialMedia,Delhi,18-25,1,0,1,84,1
D1786,621,UPI,SocialMedia,Lucknow,18-25,3,0,1,244,0
D1787,522,Cash,SocialMedia,Lucknow,36-50,10,1,1,91,1
D1788,282,UPI,SocialMedia,Lucknow,26-35,4,0,1,169,0
D1789,541,Card,SocialMedia,Kanpur,26-35,1,0,1,132,0
D1790,357,UPI,Referral,Lucknow,36-50,8,0,0,179,1
D1791,251,Card,SocialMedia,Kanpur,18-25,11,1,0,97,1
D1792,861,UPI,SocialMedia,Other,18-25,3,0,0,213,0
D1793,791,BankTransfer,Event,Kanpur,26-35,1,0,1,236,1
D1794,172,UPI,SocialMedia,Ghaziabad,36-50,2,0,0,209,0
D1795,552,Card,Event,Kanpur,18-25,2,0,1,151,1
D1796,1208,UPI,SocialMedia,Delhi,36-50,3,0,0,109,1
D1797,1263,Card,Website,Kanpur,18-25,3,0,1,337,1
D1798,1234,Card,Event,Other,18-25,8,0,0,70,1
D1799,618,UPI,Website,Kanpur,51+,3,0,1,201,0
